Average Session Length,Group
2.111111111,G
3.924528302,G
2.783783784,G
9.65060241,G
2.954545455,G
5.602564103,G
2.980952381,G
3.870967742,G
4.861111111,G
4.25,G
3.216049383,G
9.78021978,G
5.34375,G
5.606557377,G
2.714285714,G
3.121019108,G
3.934343434,G
5.579545455,G
4.162650602,G
4.186046512,G
2.457142857,G
4.493589744,G
4.307692308,G
3.030674847,G
1.970873786,G
2.490909091,G
4.6,I
4.92248062,I
7.628205128,I
6.972067039,I
2.363636364,I
5.5875,I
3.669724771,I
3.967741935,I
4.636363636,I
5.25,I
5.6,I
7.505882353,I
3.626865672,I
3.650943396,I
4.259259259,I
4.454545455,I
2.96124031,I
3.790243902,I
5.4,I
6.496296296,I
3.780346821,I
5.2,I
3.28,I
5.144927536,I
4.975206612,I
